,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
67,Andrew Bogut,C,34,GSW,11,5,134,6.4,12.8,.500,0.0,0.0,,6.4,12.8,.500,1.1,1.1,1.000,4.3,15.3,19.5,3.9,1.1,2.8,2.8,7.8,13.8,,107,104,https://www.basketball-reference.com/players/b/bogutan01.html
68,Jonah Bolden,PF,23,PHI,44,10,639,5.9,12.0,.494,2.5,7.1,.354,3.4,4.9,.697,1.0,2.0,.481,3.5,8.7,12.2,3.0,1.3,2.9,2.7,7.3,15.3,,111,107,https://www.basketball-reference.com/players/b/boldejo01.html
69,Isaac Bonga,PG,19,LAL,22,0,120,1.9,12.8,.152,0.0,3.1,.000,1.9,9.7,.200,3.5,5.8,.600,3.5,6.2,9.7,5.8,3.5,1.6,2.3,3.5,7.4,,73,105,https://www.basketball-reference.com/players/b/bongais01.html
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 70
71,Devin Booker,SG,22,PHO,64,64,2242,12.5,26.7,.467,2.9,8.8,.326,9.6,17.9,.536,8.4,9.7,.866,0.8,4.8,5.6,9.2,1.2,0.3,5.6,4.3,36.2,,109,118,https://www.basketball-reference.com/players/b/bookede01.html
72,Chris Boucher,PF,26,TOR,28,0,163,10.0,22.3,.447,3.5,10.9,.324,6.5,11.5,.564,3.8,4.4,.867,4.7,11.8,16.5,0.6,1.8,7.1,2.1,9.1,27.3,,112,97,https://www.basketball-reference.com/players/b/bouchch01.html
73,Avery Bradley,SG,28,TOT,63,63,1905,6.2,15.2,.408,2.2,6.1,.351,4.1,9.1,.446,1.1,1.3,.860,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,,98,115,https://www.basketball-reference.com/players/b/bradlav01.html
74,Avery Bradley,SG,28,LAC,49,49,1463,5.2,13.5,.383,1.9,5.5,.337,3.3,8.0,.415,0.6,0.8,.800,1.1,3.1,4.2,3.1,0.9,0.5,2.0,4.3,12.9,,93,116,https://www.basketball-reference.com/players/b/bradlav01.html
75,Avery Bradley,SG,28,MEM,14,14,442,9.8,21.1,.463,3.1,8.2,.384,6.6,12.9,.513,2.6,2.8,.920,0.9,4.0,4.9,6.3,1.6,0.0,3.1,3.8,25.3,,107,112,https://www.basketball-reference.com/players/b/bradlav01.html
76,Tony Bradley,C,21,UTA,3,0,36,10.6,21.3,.500,0.0,0.0,,10.6,21.3,.500,1.3,2.7,.500,12.0,8.0,19.9,1.3,2.7,2.7,4.0,8.0,22.6,,105,101,https://www.basketball-reference.com/players/b/bradlto01.html
77,Corey Brewer,SF,32,TOT,31,3,492,5.0,11.7,.431,1.3,4.2,.318,3.7,7.5,.494,2.9,4.1,.721,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,,112,109,https://www.basketball-reference.com/players/b/breweco01.html
