Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Ante Zizic,68.31,39.27,45.62,7.55,7.55,0.408,0.616,0.92,79.74,0,20.26
James Johnson,62.2,62.53,29.02,6.33,2.11,0.338,0.536,0.875,53.27,35.05,11.68
Mason Plumlee,70.82,38.39,28.74,25.75,7.13,0.401,0.536,0.955,81.34,0.96,17.7
Garrett Temple,75.86,73.29,23.4,2.69,0.62,0.342,0.611,0.923,41.33,44.66,14.01
Josh Okogie,74.09,63.67,26.55,7.19,2.59,0.295,0.451,0.944,47.42,32.09,20.5
Tyler Zeller,62.5,63.33,30,6.67,0,0.474,0.556,1,69.57,0,30.43
Maurice Harkless,71.96,44.33,31.19,17.01,7.47,0.285,0.529,0.924,67.83,21.52,10.65
George Hill,52.35,66.49,30.05,1.06,2.39,0.368,0.628,1,53.28,31.44,15.28
Jake Layman,79.63,60.85,20.99,14.62,3.54,0.357,0.663,0.871,58.04,32.72,9.24
Rodney McGruder,64.52,77.66,19.52,1.3,1.52,0.36,0.556,0.833,42.54,47.12,10.34
Patrick Beverley,65.26,78.56,20.17,0.21,1.06,0.392,0.463,0,27.79,56.09,16.12
Boban Marjanovic,66.88,42.69,38.08,15.38,3.85,0.468,0.677,0.9,73.93,2.84,23.22
Shelvin Mack,49.08,67.74,32.01,0,0.25,0.344,0.535,0,54.42,32.09,13.49
Dorian Finney-Smith,71.81,58.89,21.03,11.47,8.6,0.325,0.473,0.85,49.58,38.94,11.48
Iman Shumpert,74.25,86.32,13.23,0.22,0.22,0.34,0.593,1,30.97,61.29,7.74
Dillon Brooks,75.51,63.93,31.97,1.64,2.46,0.385,0.41,1,50.37,33.33,16.3
Chandler Parsons,73.53,79.12,19.78,0.55,0.55,0.326,0.556,1,41.71,46.52,11.76
Miles Bridges,82.28,54.6,27.2,14.87,3.33,0.33,0.496,0.829,57.62,32.66,9.72
Christian Wood,70.37,47.22,29.63,18.52,4.63,0.412,0.375,0.95,61.74,16.11,22.15
Draymond Green,76.06,59.48,30.57,6.4,3.55,0.299,0.62,0.926,58.02,29.01,12.96
Dwayne Bacon,64.75,64.2,32.68,2.72,0.39,0.376,0.619,1,53.16,36.08,10.76
Mitchell Robinson,64.36,2.06,38.83,46.39,12.71,0.333,0.584,0.844,83.3,0,16.7
