Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Marcus Smart,44.62,7.23,11.99,19.75,8.29,8.11,0,0.36,0.366,0.382,0.643,0.34,0.413,0
Mario Hezonja,26.94,15.3,14.66,37.28,2.16,3.66,0,0.312,0.423,0.353,0.549,0.1,0.118,0
Alec Burks,27.85,15.19,16.24,33.12,2.11,5.06,0.42,0.371,0.306,0.26,0.567,0.4,0.333,0
Delon Wright,22.58,5.2,18.1,46.59,3.58,3.05,0.9,0.278,0.241,0.317,0.588,0.45,0.353,0
Trey Lyles,32.73,10.3,19.6,29.7,2.02,5.25,0.4,0.228,0.431,0.361,0.673,0.5,0.346,0
Frank Kaminsky,42.62,6.04,17.11,30.2,2.01,2.01,0,0.386,0.167,0.51,0.656,0.167,0,0
Norman Powell,27.75,8.25,9.25,40.25,5.25,8.5,0.75,0.369,0.273,0.459,0.621,0.524,0.441,0
Kyle Korver,53.42,20.08,3.11,4.14,8.9,10.35,0,0.364,0.423,0.467,0.75,0.419,0.52,0
Rodions Kurucs,30.07,3.56,8.02,47.66,4.23,5.57,0.89,0.304,0.375,0.25,0.607,0.316,0.4,0
Langston Galloway,39.24,13.08,10.84,11.53,12.74,12.56,0,0.329,0.447,0.397,0.493,0.446,0.37,0
Noah Vonleh,27.05,6.36,20.45,42.05,2.73,1.36,0,0.328,0.357,0.5,0.573,0.417,0.333,0
Mikal Bridges,30.37,5.33,8.53,30.91,14.39,10.3,0.18,0.357,0.333,0.333,0.638,0.259,0.397,0
Jahlil Okafor,1.11,3.61,36.67,58.61,0,0,0,0.25,0.538,0.462,0.678,0,0,0
Bruno Caboclo,33.33,1.78,9.78,30.67,9.33,14.67,0.44,0.387,0.75,0.227,0.58,0.333,0.364,0
DeAndre' Bembry,19.31,2.97,16.83,52.15,3.96,4.62,0.17,0.291,0.111,0.333,0.582,0.375,0.214,0
Darius Miller,60.89,14.8,5.71,3.81,7.82,6.77,0.21,0.368,0.457,0.37,0.667,0.297,0.438,0
Richaun Holmes,0,3.29,28.49,68.22,0,0,0,0,0.167,0.394,0.719,0,0,0
Markelle Fultz,3.87,26.45,25.81,38.71,1.29,2.58,1.29,0.333,0.244,0.375,0.6,0.5,0.25,0
Austin Rivers,44.06,1.92,14.86,26.05,5.59,7.34,0.17,0.321,0.364,0.412,0.597,0.406,0.238,0
Isaiah Thomas,37.37,8.08,28.28,20.2,4.04,2.02,0,0.297,0.75,0.179,0.55,0,0.5,0
Kyle Anderson,4.71,12.32,23.91,51.45,2.54,5.07,0,0.077,0.5,0.47,0.655,0.429,0.357,0
Davis Bertans,63.36,9.27,7.95,8.17,5.52,5.08,0.66,0.408,0.5,0.278,0.757,0.68,0.478,0
Jamal Crawford,37.21,32.65,16.21,5.02,3.42,5.02,0.46,0.356,0.434,0.479,0.5,0.333,0.182,0
Frank Jackson,21.51,12.13,13.96,36.16,7.78,8.47,0,0.309,0.302,0.377,0.627,0.382,0.243,0
Seth Curry,42.58,25.16,8.17,12.69,6.02,5.38,0,0.439,0.402,0.526,0.542,0.357,0.64,0
Josh Hart,43.97,4.74,7.76,28.45,7.33,7.76,0,0.324,0.273,0.194,0.636,0.382,0.361,0
Ante Zizic,0,10.27,27.49,62.24,0,0,0,0,0.412,0.374,0.655,0,0,0
James Johnson,26.65,7.92,17.41,35.62,7.39,4.22,0.79,0.327,0.233,0.364,0.615,0.357,0.438,0
Mason Plumlee,1.38,5.98,24.37,67.36,0.23,0,0.69,0.333,0.269,0.377,0.71,0,0,0
Garrett Temple,31.68,12.63,8.7,25.67,9.52,11.8,0,0.307,0.361,0.333,0.661,0.348,0.386,0
Josh Okogie,27.15,13.77,9.78,33.93,9.18,5.99,0.2,0.272,0.348,0.204,0.582,0.261,0.367,0
Tyler Zeller,0,6.67,30,60,0,3.33,0,0,0.5,0.444,0.611,0,0,0
Maurice Harkless,19.85,4.12,8.76,56.44,4.9,5.41,0.52,0.273,0.25,0.324,0.644,0.316,0.286,0
George Hill,30.59,14.63,11.97,32.71,3.99,5.85,0.27,0.304,0.455,0.422,0.634,0.2,0.455,0
Jake Layman,32.78,9.2,7.55,40.57,4.95,4.95,0,0.353,0.41,0.438,0.738,0.238,0.238,0
Rodney McGruder,30.15,4.56,24.3,22.34,9.76,8.68,0.22,0.353,0.333,0.366,0.573,0.356,0.35,0
Patrick Beverley,46.5,2.34,16.14,22.51,6.79,5.73,0,0.365,0.273,0.355,0.481,0.563,0.407,0
Boban Marjanovic,2.31,9.62,24.23,62.31,1.54,0,0,0.167,0.48,0.476,0.704,0.75,0,0
